"shortlet_name","shortlet_url","shortlet_Address","shortlet_Price"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-banana-island-ikoyi-lagos-9KKWA","Banana Island Ikoyi Lagos","170,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-oniru-victoria-island-lagos-0KKWC","Oniru Victoria Island Lagos","90,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-ikate-lekki-lagos-2KEZY","Ikate Lekki Lagos","80,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-mojisola-onikoyi-estate-ikoyi-lagos-8KMHU","Mojisola Onikoyi Estate Ikoyi Lagos","85,000/day"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-ikate-along-lekki-expressway-lekki-lagos-6KMHR","Ikate Along Lekki Expressway Lekki Lagos","70,000/day"
"6 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/6-bedroom-house-for-shortlet-first-unity-estate-badore-ajah-lagos-8JXKL","First Unity Estate Badore Ajah Lagos","150,000/day"
"7 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/7-bedroom-house-for-shortlet-first-unity-estate-badore-ajah-lagos-5JXKM","First Unity Estate Badore Ajah Lagos","170,000/day"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-badore-ajah-lagos-8KABG","Badore Ajah Lagos","15,000/day"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-badore-ajah-lagos-0KABL","Badore Ajah Lagos","15,000/day"
"1 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-shortlet-ikate-lekki-lagos-9KHQZ","Ikate Lekki Lagos","65,000/day"
"5 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/5-bedroom-flat-apartment-for-shortlet-ikate-lekki-lagos-5KCMC","Ikate Lekki Lagos","180,000/day"
"3 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-house-for-shortlet-lekki-gardens-phase-2-lekki-gardens-estate-ajah-lagos-9DATG","Lekki Gardens Phase 2 Lekki Gardens Estate Ajah Lagos","55,000"
"3 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-house-for-shortlet-lekki-garden-phase-2-lekki-gardens-estate-ajah-lagos-X2336","Lekki Garden Phase 2 Lekki Gardens Estate Ajah Lagos","55,000"
"2 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-house-for-shortlet-ken-legend-ikate-lekki-lagos-8HFRD","Ken Legend Ikate Lekki Lagos","65,000/day"
"4 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-shortlet-bluewaters-apartment-lekki-phase-1-lekki-lagos-9JBHM","Bluewaters Apartment Lekki Phase 1 Lekki Lagos","150,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-alexandra-terrace-gbangbala-street-ikate-elegushi-ikate-lekki-lagos-8GQFL","Alexandra Terrace, Gbangbala Street, Ikate Elegushi Ikate Lekki Lagos","95,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-midak-mews-apartment-plot-19-olowo-eko-close-jose-maria-escriva-eatate-lekki-phase-1-lekki-lagos-3GQFS","Midak Mews Apartment, Plot 19, Olowo Eko Close, Jose Maria Escriva Eatate Lekki Phase 1 Lekki Lagos","95,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-muritala-eletu-way-osapa-london-lekki-lagos-1GQBT","Muritala Eletu Way Osapa London Lekki Lagos","85,000/day"
"4 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-shortlet-4-dapo-solanke-close-lekki-phase-1-lekki-lagos-8GQBZ","4 Dapo Solanke Close Lekki Phase 1 Lekki Lagos","120,000/day"
"4 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-shortlet-no-4-isujeh-street-off-spa-road-ikate-lekki-lagos-2GQEP","No 4, Isujeh Street, Off Spa Road Ikate Lekki Lagos","110,000/day"
